,id,name,price,year,quality,type,volume_l,fuel_type,Kpp,text,date,city,link
74,125479774,Opel Astra,2450000,2001,Б/у,хэтчбек,1.6, газ-бензин, КПП автомат,"2001 г., Б/у хэтчбек, 1.6 л, газ-бензин, КПП автомат, с пробегом 175 000 км, серебристый, металлик, литые диски, корре...",19 сентября,Атырау,https://kolesa.kz//a/show/125479774
75,125478891,BMW 540,5000000,1999,Б/у,седан,4.4, бензин, КПП механика,"1999 г., Б/у седан, 4.4 л, бензин, КПП механика, с пробегом 310 040 км, черный, металлик, литые диски, тонировка, люк,...",19 сентября,Шымкент,https://kolesa.kz//a/show/125478891
76,119171784,ГАЗ ГАЗель,3500000,2006,Б/у,пикап,2.9, бензин, КПП механика,"2006 г., Б/у пикап, 2.9 л, бензин, КПП механика, белый, налог уплачен, техосмотр пройден, вложений не требует, Продаю...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/119171784
77,116893182,Toyota Camry,6999999,2012,Б/у,седан,2.5, газ-бензин, КПП автомат,"2012 г., Б/у седан, 2.5 л, газ-бензин, КПП автомат, с пробегом 145 000 км, серый, металлик, литые диски, тонировка, ве...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/116893182
78,124189137,Hyundai H-1,12780000,2018,Б/у,минивэн,2.5, дизель, КПП механика,"2018 г., Б/у минивэн, 2.5 л, дизель, КПП механика, с пробегом 72 445 км, белый, металлик, литые диски, тонировка, линз...",19 сентября,Атырау,https://kolesa.kz//a/show/124189137
79,125315109,Toyota Previa,7900000,2007,Б/у,минивэн,3.5, бензин, КПП автомат,"2007 г., Б/у минивэн, 3.5 л, бензин, КПП автомат, с пробегом 283 430 км, жёлтый, металлик, ОО ""Eurasia Motor Aktau"" яв...",19 сентября,Актау,https://kolesa.kz//a/show/125315109
80,125266186,Mitsubishi ASX,12200000,2020,новый,кроссовер,2, бензин, КПП вариатор,"2020 г., новый кроссовер, 2 л, бензин, КПП вариатор, серый, металлик, литые диски, тонировка, рейлинги, дневные ходовы...",19 сентября,Алматы,https://kolesa.kz//a/show/125266186
81,125048015,Mazda Cronos,1700000,1993,Б/у,седан,2, бензин, КПП механика,"1993 г., Б/у седан, 2 л, бензин, КПП механика, с пробегом 500 000 км, серебристый, литые диски, спойлер, дневные ходов...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/125048015
82,124412421,Toyota Camry,5600000,2007,Б/у,седан,2.4, бензин, КПП автомат,"2007 г., Б/у седан, 2.4 л, бензин, КПП автомат, с пробегом 300 000 км, металлик, ксенон, биксенон, линзованная оптика,...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/124412421
83,125782729,Toyota Caldina,1200000,1994,Б/у,универсал,2, бензин, правый руль,"1994 г., Б/у универсал, 2 л, бензин, правый руль, КПП автомат, Мотор коробка ходовка без проблем. Вложения по кузову....",19 сентября,Алматы,https://kolesa.kz//a/show/125782729
84,125739478,ВАЗ (Lada) 2121 Нива,950000,2003,Б/у,внедорожник,1.7, бензин, КПП механика,"2003 г., Б/у внедорожник, 1.7 л, бензин, КПП механика, тонировка, фаркоп, сигнализация, автозапуск, центрозамок, техос...",19 сентября,Петропавловск,https://kolesa.kz//a/show/125739478
85,125783461,Toyota Noah,2400000,2003,Б/у,минивэн,2, бензин, правый руль,"2003 г., Б/у минивэн, 2 л, бензин, правый руль, КПП вариатор, с пробегом 275 000 км, серебристый, металлик, литые диск...",19 сентября,Атырау,https://kolesa.kz//a/show/125783461
86,125783206,ВАЗ (Lada) 2106,680000,1998,Б/у,седан,1.6, бензин, КПП механика,"1998 г., Б/у седан, 1.6 л, бензин, КПП механика, с пробегом 55 000 км, бежевый, металлик, литые диски, тонировка, ксен...",19 сентября,Туркестан,https://kolesa.kz//a/show/125783206
87,125783449,Opel Astra,1200000,1997,Б/у,универсал,1.8, газ-бензин, КПП механика,"1997 г., Б/у универсал, 1.8 л, газ-бензин, КПП механика, белый",19 сентября,Кентау,https://kolesa.kz//a/show/125783449
88,125631524,Mitsubishi Diamante,1200000,1997,Б/у,седан,3, бензин, правый руль,"1997 г., Б/у седан, 3 л, бензин, правый руль, КПП автомат, серебристый, металлик, литые диски, тонировка, хрустальная...",19 сентября,Караганда,https://kolesa.kz//a/show/125631524
89,125782787,Toyota Estima,6900000,2006,Б/у,минивэн,3.5, бензин, правый руль,"2006 г., Б/у минивэн, 3.5 л, бензин, правый руль, КПП автомат, с пробегом 170 000 км, серебристый, металлик, литые дис...",19 сентября,Усть-Каменогорск,https://kolesa.kz//a/show/125782787
90,125783360,Kia Rio,4500000,2013,Б/у,седан,1.6, бензин, КПП автомат,"2013 г., Б/у седан, 1.6 л, бензин, КПП автомат, белый, литые диски, ветровики, противотуманки, корректор фар, обогрев...",19 сентября,Алматы,https://kolesa.kz//a/show/125783360
91,121910755,Toyota Soarer,3300000,1993,Б/у,купе,2.5, бензин, правый руль,"1993 г., Б/у купе, 2.5 л, бензин, правый руль, КПП автомат, с пробегом 258 000 км, белый, металлик, литые диски, тонир...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/121910755
92,125434175,Nissan Maxima,3400000,2004,Б/у,седан,3, бензин, КПП автомат,"2004 г., Б/у седан, 3 л, бензин, КПП автомат, с пробегом 195 000 км, серый, металлик, литые диски, тонировка, люк, спо...",19 сентября,Уральск,https://kolesa.kz//a/show/125434175
93,125782297,Mercedes-Benz E 200,1500000,1991,Б/у,седан,2, бензин, КПП механика,"1991 г., Б/у седан, 2 л, бензин, КПП механика, серый",19 сентября,Тараз,https://kolesa.kz//a/show/125782297
94,121923359,Infiniti I35,3700000,2003,Б/у,седан,3.5, бензин, КПП автомат,"2003 г., Б/у седан, 3.5 л, бензин, КПП автомат, с пробегом 195 000 км, серый, металлик, литые диски, тонировка, люк, к...",19 сентября,Уральск,https://kolesa.kz//a/show/121923359
95,125783331,Hyundai Sonata,6000000,2012,Б/у,седан,2.4, бензин, КПП автомат,"2012 г., Б/у седан, 2.4 л, бензин, КПП автомат, белый, кожа, MP3, USB, DVD, ГУР, ABS, вложений не требует",19 сентября,Актобе,https://kolesa.kz//a/show/125783331
96,125644011,ВАЗ (Lada) 2112 (хэтчбек),790000,2005,Б/у,хэтчбек,1.6, бензин, КПП механика,"2005 г., Б/у хэтчбек, 1.6 л, бензин, КПП механика, с пробегом 145 211 км, серый, металлик, тонировка, спойлер, багажни...",19 сентября,Нур-Султан (Астана),https://kolesa.kz//a/show/125644011
